time,edge_ms,fog_ms,cloud_ms,avg_weighted_ms
1.0,5.0,0.0,130.0,67.5
2.0,5.0,0.0,130.0,74.44
3.0,5.0,0.0,130.0,67.5
4.0,5.0,0.0,130.0,67.5
5.0,5.0,0.0,130.0,67.5
6.0,5.0,0.0,130.0,67.5
7.0,5.0,0.0,130.0,67.5
8.0,5.0,0.0,130.0,67.5
9.0,5.0,0.0,130.0,67.5
10.0,5.0,0.0,130.0,67.5
11.0,5.0,0.0,130.0,67.5
12.0,5.0,0.0,130.0,67.5
13.0,5.0,0.0,130.0,67.5
14.0,5.0,0.0,130.0,67.5
15.0,5.0,0.0,130.0,67.5
16.0,5.0,0.0,130.0,67.5
17.0,5.0,0.0,130.0,67.5
18.0,5.0,0.0,130.0,67.5
19.0,5.0,0.0,130.0,67.5
20.0,5.0,0.0,130.0,67.5
21.0,5.0,0.0,130.0,67.5
22.0,5.0,0.0,130.0,67.5
23.0,5.0,0.0,130.0,67.5
24.0,5.0,0.0,130.0,67.5
25.0,5.0,0.0,130.0,70.79
26.0,5.0,0.0,130.0,67.5
27.0,5.0,0.0,130.0,67.5
28.0,5.0,0.0,130.0,67.5
29.0,5.0,0.0,130.0,67.5
30.0,5.0,0.0,130.0,67.5
31.0,5.0,0.0,130.0,67.5
32.0,5.0,0.0,130.0,67.5
33.0,5.0,0.0,130.0,67.5
34.0,5.0,0.0,130.0,67.5
35.0,5.0,0.0,130.0,67.5
36.0,5.0,0.0,130.0,67.5
37.0,5.0,0.0,130.0,67.5
38.0,5.0,0.0,130.0,67.5
39.0,5.0,0.0,130.0,67.5
40.0,5.0,0.0,130.0,67.5
41.0,5.0,0.0,130.0,67.5
42.0,5.0,0.0,130.0,67.5
43.0,5.0,0.0,130.0,67.5
44.0,5.0,0.0,130.0,69.81
45.0,5.0,0.0,130.0,67.5
46.0,5.0,0.0,130.0,67.5
47.0,5.0,0.0,130.0,65.19
48.0,5.0,0.0,130.0,65.19
49.0,5.0,0.0,130.0,67.5
50.0,5.0,0.0,130.0,65.48
51.0,5.0,0.0,130.0,67.5
52.0,5.0,0.0,130.0,67.5
53.0,5.0,0.0,130.0,67.5
54.0,5.0,0.0,130.0,67.5
55.0,5.0,0.0,130.0,67.5
56.0,5.0,0.0,130.0,67.5
57.0,5.0,0.0,130.0,67.5
58.0,5.0,0.0,130.0,67.5
59.0,5.0,0.0,130.0,67.5
60.0,5.0,0.0,130.0,67.5
61.0,5.0,0.0,130.0,67.5
62.0,5.0,0.0,130.0,67.5
63.0,5.0,0.0,130.0,67.5
64.0,5.0,0.0,130.0,67.5
65.0,5.0,0.0,130.0,67.5
66.0,5.0,0.0,130.0,67.5
67.0,5.0,0.0,130.0,65.81
68.0,5.0,0.0,130.0,65.81
69.0,5.0,0.0,130.0,65.81
70.0,5.0,0.0,130.0,67.5
71.0,5.0,0.0,130.0,67.5
72.0,5.0,0.0,130.0,67.5
73.0,5.0,0.0,130.0,67.5
74.0,5.0,0.0,130.0,69.02
75.0,5.0,0.0,130.0,67.5
76.0,5.0,0.0,130.0,67.5
77.0,5.0,0.0,130.0,67.5
78.0,5.0,0.0,130.0,67.5
79.0,5.0,0.0,130.0,67.5
80.0,5.0,0.0,130.0,67.5
81.0,5.0,0.0,130.0,67.5
82.0,5.0,0.0,130.0,67.5
83.0,5.0,0.0,130.0,67.5
84.0,5.0,0.0,130.0,67.5
85.0,5.0,0.0,130.0,67.5
86.0,5.0,0.0,130.0,67.5
87.0,5.0,0.0,130.0,67.5
88.0,5.0,0.0,130.0,67.5
89.0,5.0,0.0,130.0,67.5
90.0,5.0,0.0,130.0,67.5
91.0,5.0,0.0,130.0,67.5
92.0,5.0,0.0,130.0,67.5
93.0,5.0,0.0,130.0,67.5
94.0,5.0,0.0,130.0,67.5
95.0,5.0,0.0,130.0,67.5
96.0,5.0,0.0,130.0,67.5
97.0,5.0,0.0,130.0,68.68
98.0,5.0,0.0,130.0,67.5
99.0,5.0,0.0,130.0,67.5
100.0,5.0,0.0,130.0,67.5
101.0,5.0,0.0,130.0,67.5
102.0,5.0,0.0,130.0,67.5
103.0,5.0,0.0,130.0,67.5
104.0,5.0,0.0,130.0,67.5
105.0,5.0,0.0,130.0,67.5
106.0,5.0,0.0,130.0,67.5
107.0,5.0,0.0,130.0,67.5
108.0,5.0,0.0,130.0,68.6
109.0,5.0,0.0,130.0,67.5
110.0,5.0,0.0,130.0,67.5
111.0,5.0,0.0,130.0,67.5
112.0,5.0,0.0,130.0,66.36
113.0,5.0,0.0,130.0,65.27
114.0,5.0,0.0,130.0,65.27
115.0,5.0,0.0,130.0,65.27
116.0,5.0,0.0,130.0,66.36
117.0,5.0,0.0,130.0,66.4
118.0,5.0,0.0,130.0,67.5
119.0,5.0,0.0,130.0,67.5
120.0,5.0,0.0,130.0,67.5
121.0,5.0,0.0,130.0,68.64
122.0,5.0,0.0,130.0,68.64
123.0,5.0,0.0,130.0,67.5
124.0,5.0,0.0,130.0,67.5
125.0,5.0,0.0,130.0,66.36
126.0,5.0,0.0,130.0,65.19
127.0,5.0,0.0,130.0,64.09
128.0,5.0,0.0,130.0,65.19
129.0,5.0,0.0,130.0,65.19
130.0,5.0,0.0,130.0,66.32
131.0,5.0,0.0,130.0,67.5
132.0,5.0,0.0,130.0,67.5
133.0,5.0,0.0,130.0,67.5
134.0,5.0,0.0,130.0,68.73
135.0,5.0,0.0,130.0,68.78
136.0,5.0,0.0,130.0,68.83
137.0,5.0,0.0,130.0,68.83
138.0,5.0,0.0,130.0,71.67
139.0,5.0,0.0,130.0,70.34
140.0,5.0,0.0,130.0,70.34
141.0,5.0,0.0,130.0,68.95
142.0,5.0,0.0,130.0,68.95
143.0,5.0,0.0,130.0,68.95
144.0,5.0,0.0,130.0,69.02
145.0,5.0,0.0,130.0,68.78
146.0,5.0,0.0,130.0,68.78
147.0,5.0,0.0,130.0,67.5
148.0,5.0,0.0,130.0,67.5
149.0,5.0,0.0,130.0,66.22
150.0,5.0,0.0,130.0,67.5
151.0,5.0,0.0,130.0,68.83
152.0,5.0,0.0,130.0,68.83
153.0,5.0,0.0,130.0,68.83
154.0,5.0,0.0,130.0,70.22
155.0,5.0,0.0,130.0,70.22
156.0,5.0,0.0,130.0,70.22
157.0,5.0,0.0,130.0,70.22
158.0,5.0,0.0,130.0,70.22
159.0,5.0,0.0,130.0,70.34
160.0,5.0,0.0,130.0,68.89
161.0,5.0,0.0,130.0,68.83
162.0,5.0,0.0,130.0,68.83
163.0,5.0,0.0,130.0,70.1
164.0,5.0,0.0,130.0,70.22
165.0,5.0,0.0,130.0,70.22
166.0,5.0,0.0,130.0,71.49
167.0,5.0,0.0,130.0,70.22
168.0,5.0,0.0,130.0,68.89
169.0,5.0,0.0,130.0,71.67
170.0,5.0,0.0,130.0,68.89
171.0,5.0,0.0,130.0,68.89
172.0,5.0,0.0,130.0,68.89
173.0,5.0,0.0,130.0,68.89
174.0,5.0,0.0,130.0,68.83
175.0,5.0,0.0,130.0,68.83
176.0,5.0,0.0,130.0,68.83
177.0,5.0,0.0,130.0,68.78
178.0,5.0,0.0,130.0,68.78
179.0,5.0,0.0,130.0,68.78
180.0,5.0,0.0,130.0,68.78
181.0,5.0,0.0,130.0,68.73
182.0,5.0,0.0,130.0,68.73
183.0,5.0,0.0,130.0,68.73
184.0,5.0,0.0,130.0,68.73
185.0,5.0,0.0,130.0,68.73
186.0,5.0,0.0,130.0,68.73
187.0,5.0,0.0,130.0,68.68
188.0,5.0,0.0,130.0,68.68
189.0,5.0,0.0,130.0,68.64
190.0,5.0,0.0,130.0,68.64
191.0,5.0,0.0,130.0,68.64
192.0,5.0,0.0,130.0,68.64
193.0,5.0,0.0,130.0,69.66
194.0,5.0,0.0,130.0,68.56
195.0,5.0,0.0,130.0,68.56
196.0,5.0,0.0,130.0,68.56
197.0,5.0,0.0,130.0,68.56
198.0,5.0,0.0,130.0,68.56
199.0,5.0,0.0,130.0,68.52
200.0,5.0,0.0,130.0,68.56
201.0,5.0,0.0,130.0,70.79
202.0,5.0,0.0,130.0,69.73
203.0,5.0,0.0,130.0,68.6
204.0,5.0,0.0,130.0,67.5
205.0,5.0,0.0,130.0,66.36
206.0,5.0,0.0,130.0,66.36
207.0,5.0,0.0,130.0,67.5
208.0,5.0,0.0,130.0,67.5
209.0,5.0,0.0,130.0,67.5
210.0,5.0,0.0,130.0,66.4
211.0,5.0,0.0,130.0,66.4
212.0,5.0,0.0,130.0,66.4
213.0,5.0,0.0,130.0,67.5
214.0,5.0,0.0,130.0,68.64
215.0,5.0,0.0,130.0,67.5
216.0,5.0,0.0,130.0,65.0
217.0,5.0,0.0,130.0,68.78
218.0,5.0,0.0,130.0,68.78
219.0,5.0,0.0,130.0,64.9
220.0,5.0,0.0,130.0,64.9
221.0,5.0,0.0,130.0,66.17
222.0,5.0,0.0,130.0,66.17
223.0,5.0,0.0,130.0,68.89
224.0,5.0,0.0,130.0,68.89
225.0,5.0,0.0,130.0,67.5
226.0,5.0,0.0,130.0,66.11
227.0,5.0,0.0,130.0,67.5
228.0,5.0,0.0,130.0,67.5
229.0,5.0,0.0,130.0,67.5
230.0,5.0,0.0,130.0,67.5
231.0,5.0,0.0,130.0,67.5
232.0,5.0,0.0,130.0,67.5
233.0,5.0,0.0,130.0,66.17
