time,tl_adjusted_total,rerouted_total
1.0,0,0
2.0,0,0
3.0,0,0
4.0,0,0
5.0,0,0
6.0,0,0
7.0,0,0
8.0,0,0
9.0,0,0
10.0,0,0
11.0,0,0
12.0,0,0
13.0,0,0
14.0,0,0
15.0,0,0
16.0,0,0
17.0,0,0
18.0,0,0
19.0,0,0
20.0,0,0
21.0,0,0
22.0,0,0
23.0,0,0
24.0,0,0
25.0,0,0
26.0,0,0
27.0,0,0
28.0,0,0
29.0,0,0
30.0,0,0
31.0,0,0
32.0,0,0
33.0,0,0
34.0,0,0
35.0,0,0
36.0,0,0
37.0,0,0
38.0,0,0
39.0,0,0
40.0,0,0
41.0,0,0
42.0,0,0
43.0,0,0
44.0,0,0
45.0,0,0
46.0,0,0
47.0,0,0
48.0,0,0
49.0,0,0
50.0,0,0
51.0,0,0
52.0,0,0
53.0,0,0
54.0,0,0
55.0,0,22
56.0,0,22
57.0,0,22
58.0,0,22
59.0,0,22
60.0,0,22
61.0,0,22
62.0,0,22
63.0,0,22
64.0,0,22
65.0,0,22
66.0,0,22
67.0,0,22
68.0,0,22
69.0,0,22
70.0,0,22
71.0,0,22
72.0,0,22
73.0,0,22
74.0,0,22
75.0,0,22
76.0,0,22
77.0,0,22
78.0,0,22
79.0,0,22
80.0,0,22
81.0,0,22
82.0,0,22
83.0,0,22
84.0,0,22
85.0,0,22
86.0,0,22
87.0,0,22
88.0,0,22
89.0,0,22
90.0,0,22
91.0,0,22
92.0,0,22
93.0,0,22
94.0,0,22
95.0,0,22
96.0,0,22
97.0,0,22
98.0,0,22
99.0,0,22
100.0,0,22
101.0,0,22
102.0,0,22
103.0,0,22
104.0,0,22
105.0,0,47
106.0,0,47
107.0,0,47
108.0,0,47
109.0,0,47
110.0,0,75
111.0,0,75
112.0,0,75
113.0,0,75
114.0,0,75
115.0,0,102
116.0,0,102
117.0,0,102
118.0,0,102
119.0,0,102
120.0,0,133
121.0,0,133
122.0,0,133
123.0,0,133
124.0,0,133
125.0,0,165
126.0,0,165
127.0,0,165
128.0,0,165
129.0,0,165
130.0,0,194
131.0,0,194
132.0,0,194
