time,RSU_J1,RSU_J2,RSU_J3,RSU_J4,max_congestion_pct
1.0,0,0,0,0,0.0
2.0,16.7,6.7,6.7,0.0,16.7
3.0,20.0,6.7,6.7,0.0,20.0
4.0,20.0,6.7,6.7,0.0,20.0
5.0,20.0,6.7,6.7,0.0,20.0
6.0,20.0,6.7,6.7,0.0,20.0
7.0,20.0,6.7,6.7,0.0,20.0
8.0,20.0,6.7,6.7,0.0,20.0
9.0,20.0,6.7,6.7,0.0,20.0
10.0,20.0,6.7,6.7,0.0,20.0
11.0,20.0,6.7,6.7,0.0,20.0
12.0,20.0,6.7,6.7,0.0,20.0
13.0,23.3,3.3,6.7,0.0,23.3
14.0,20.0,6.7,6.7,0.0,20.0
15.0,23.3,6.7,3.3,0.0,23.3
16.0,30.0,6.7,3.3,0.0,30.0
17.0,33.3,13.3,0.0,0.0,33.3
18.0,33.3,13.3,0.0,0.0,33.3
19.0,40.0,13.3,0.0,0.0,40.0
20.0,40.0,13.3,0.0,0.0,40.0
21.0,40.0,13.3,0.0,0.0,40.0
22.0,40.0,13.3,6.7,0.0,40.0
23.0,36.7,10.0,6.7,0.0,36.7
24.0,33.3,10.0,6.7,0.0,33.3
25.0,36.7,10.0,6.7,0.0,36.7
26.0,40.0,6.7,6.7,0.0,40.0
27.0,36.7,6.7,10.0,0.0,36.7
28.0,36.7,0.0,13.3,0.0,36.7
29.0,36.7,0.0,13.3,0.0,36.7
30.0,43.3,0.0,13.3,0.0,43.3
31.0,40.0,3.3,13.3,0.0,40.0
32.0,40.0,3.3,13.3,0.0,40.0
33.0,30.0,13.3,16.7,0.0,30.0
34.0,26.7,13.3,20.0,0.0,26.7
35.0,26.7,13.3,20.0,0.0,26.7
36.0,26.7,13.3,20.0,0.0,26.7
37.0,36.7,13.3,16.7,0.0,36.7
38.0,40.0,13.3,13.3,0.0,40.0
39.0,40.0,13.3,13.3,0.0,40.0
40.0,40.0,13.3,13.3,0.0,40.0
41.0,40.0,13.3,13.3,0.0,40.0
42.0,40.0,13.3,13.3,0.0,40.0
43.0,40.0,13.3,20.0,0.0,40.0
44.0,36.7,16.7,13.3,0.0,36.7
45.0,43.3,13.3,13.3,3.3,43.3
46.0,46.7,10.0,13.3,3.3,46.7
47.0,46.7,10.0,13.3,3.3,46.7
48.0,46.7,10.0,13.3,3.3,46.7
49.0,50.0,16.7,13.3,3.3,50.0
50.0,53.3,16.7,13.3,3.3,53.3
51.0,53.3,16.7,13.3,3.3,53.3
52.0,50.0,13.3,13.3,6.7,50.0
53.0,46.7,13.3,16.7,6.7,46.7
54.0,40.0,13.3,20.0,6.7,40.0
55.0,46.7,13.3,20.0,6.7,46.7
56.0,46.7,13.3,20.0,6.7,46.7
57.0,46.7,13.3,20.0,6.7,46.7
58.0,46.7,13.3,20.0,6.7,46.7
59.0,53.3,13.3,20.0,6.7,53.3
60.0,53.3,13.3,20.0,6.7,53.3
61.0,53.3,13.3,20.0,6.7,53.3
62.0,53.3,13.3,20.0,6.7,53.3
63.0,53.3,13.3,26.7,6.7,53.3
64.0,53.3,13.3,26.7,6.7,53.3
65.0,53.3,20.0,26.7,6.7,53.3
66.0,53.3,20.0,26.7,6.7,53.3
67.0,53.3,20.0,26.7,6.7,53.3
68.0,50.0,23.3,26.7,6.7,50.0
69.0,46.7,23.3,30.0,6.7,46.7
70.0,43.3,26.7,30.0,6.7,43.3
71.0,40.0,26.7,33.3,6.7,40.0
72.0,40.0,26.7,33.3,6.7,40.0
73.0,53.3,26.7,33.3,6.7,53.3
74.0,56.7,26.7,33.3,6.7,56.7
75.0,60.0,26.7,33.3,6.7,60.0
76.0,60.0,26.7,33.3,6.7,60.0
77.0,63.3,26.7,30.0,6.7,63.3
78.0,66.7,26.7,26.7,6.7,66.7
79.0,70.0,26.7,23.3,6.7,70.0
80.0,80.0,20.0,20.0,6.7,80.0
81.0,83.3,23.3,20.0,6.7,83.3
82.0,86.7,20.0,13.3,6.7,86.7
83.0,83.3,23.3,13.3,6.7,83.3
84.0,80.0,26.7,16.7,6.7,80.0
85.0,76.7,30.0,13.3,6.7,76.7
86.0,73.3,33.3,13.3,6.7,73.3
87.0,66.7,33.3,10.0,10.0,66.7
88.0,63.3,40.0,6.7,10.0,63.3
89.0,56.7,40.0,6.7,13.3,56.7
90.0,50.0,43.3,6.7,13.3,50.0
91.0,50.0,46.7,6.7,13.3,50.0
92.0,46.7,43.3,6.7,16.7,46.7
93.0,43.3,40.0,6.7,20.0,43.3
94.0,40.0,40.0,6.7,20.0,40.0
95.0,46.7,33.3,6.7,20.0,46.7
96.0,50.0,33.3,3.3,20.0,50.0
97.0,53.3,33.3,3.3,20.0,53.3
98.0,56.7,33.3,3.3,20.0,56.7
99.0,53.3,30.0,3.3,20.0,53.3
100.0,50.0,33.3,3.3,20.0,50.0
101.0,53.3,26.7,0.0,20.0,53.3
102.0,60.0,20.0,0.0,20.0,60.0
103.0,60.0,13.3,0.0,20.0,60.0
104.0,60.0,13.3,6.7,20.0,60.0
105.0,60.0,13.3,6.7,16.7,60.0
106.0,60.0,13.3,6.7,16.7,60.0
107.0,60.0,13.3,6.7,10.0,60.0
108.0,53.3,13.3,6.7,6.7,53.3
109.0,60.0,10.0,6.7,3.3,60.0
110.0,60.0,10.0,6.7,0.0,60.0
111.0,60.0,6.7,6.7,0.0,60.0
112.0,60.0,6.7,6.7,0.0,60.0
113.0,53.3,20.0,6.7,0.0,53.3
114.0,53.3,20.0,6.7,0.0,53.3
115.0,53.3,20.0,6.7,0.0,53.3
116.0,53.3,20.0,6.7,0.0,53.3
117.0,60.0,20.0,6.7,0.0,60.0
118.0,60.0,20.0,6.7,0.0,60.0
119.0,60.0,20.0,6.7,0.0,60.0
120.0,60.0,20.0,6.7,0.0,60.0
121.0,63.3,20.0,6.7,0.0,63.3
122.0,66.7,20.0,6.7,0.0,66.7
123.0,66.7,20.0,6.7,0.0,66.7
124.0,66.7,20.0,6.7,0.0,66.7
125.0,66.7,20.0,13.3,0.0,66.7
126.0,66.7,20.0,13.3,0.0,66.7
127.0,73.3,20.0,13.3,0.0,73.3
128.0,70.0,20.0,16.7,0.0,70.0
129.0,66.7,26.7,20.0,0.0,66.7
130.0,66.7,26.7,20.0,0.0,66.7
131.0,66.7,26.7,26.7,0.0,66.7
132.0,60.0,26.7,33.3,0.0,60.0
133.0,53.3,26.7,33.3,0.0,53.3
134.0,46.7,26.7,40.0,0.0,46.7
135.0,33.3,26.7,46.7,0.0,46.7
136.0,33.3,26.7,46.7,0.0,46.7
137.0,23.3,26.7,50.0,0.0,50.0
138.0,23.3,26.7,50.0,0.0,50.0
139.0,20.0,26.7,53.3,0.0,53.3
140.0,20.0,26.7,53.3,0.0,53.3
141.0,20.0,26.7,53.3,0.0,53.3
142.0,13.3,26.7,60.0,0.0,60.0
143.0,16.7,23.3,60.0,0.0,60.0
144.0,20.0,20.0,60.0,0.0,60.0
145.0,40.0,20.0,66.7,0.0,66.7
146.0,43.3,20.0,66.7,0.0,66.7
147.0,53.3,10.0,66.7,0.0,66.7
148.0,53.3,6.7,66.7,0.0,66.7
149.0,53.3,6.7,66.7,0.0,66.7
150.0,53.3,6.7,66.7,0.0,66.7
151.0,56.7,6.7,63.3,0.0,63.3
152.0,60.0,6.7,60.0,0.0,60.0
153.0,63.3,6.7,56.7,0.0,63.3
154.0,66.7,6.7,53.3,0.0,66.7
155.0,66.7,6.7,50.0,0.0,66.7
156.0,66.7,6.7,46.7,3.3,66.7
157.0,70.0,0.0,46.7,3.3,70.0
158.0,70.0,0.0,43.3,3.3,70.0
159.0,73.3,0.0,33.3,6.7,73.3
160.0,80.0,0.0,33.3,6.7,80.0
161.0,76.7,6.7,30.0,10.0,76.7
162.0,73.3,6.7,30.0,10.0,73.3
163.0,80.0,6.7,30.0,10.0,80.0
164.0,80.0,6.7,23.3,13.3,80.0
165.0,76.7,6.7,20.0,13.3,76.7
166.0,73.3,6.7,23.3,16.7,73.3
167.0,73.3,6.7,23.3,16.7,73.3
168.0,70.0,6.7,20.0,20.0,70.0
169.0,70.0,6.7,16.7,20.0,70.0
170.0,73.3,6.7,16.7,20.0,73.3
171.0,73.3,6.7,16.7,20.0,73.3
172.0,70.0,6.7,16.7,20.0,70.0
173.0,66.7,6.7,16.7,20.0,66.7
174.0,73.3,6.7,13.3,20.0,73.3
175.0,73.3,6.7,10.0,23.3,73.3
176.0,66.7,6.7,16.7,23.3,66.7
177.0,66.7,13.3,16.7,23.3,66.7
178.0,66.7,13.3,13.3,26.7,66.7
179.0,66.7,13.3,13.3,26.7,66.7
180.0,70.0,13.3,10.0,26.7,70.0
181.0,76.7,13.3,10.0,26.7,76.7
182.0,76.7,13.3,10.0,26.7,76.7
183.0,73.3,13.3,13.3,26.7,73.3
184.0,73.3,13.3,13.3,23.3,73.3
185.0,73.3,13.3,13.3,23.3,73.3
186.0,73.3,13.3,13.3,20.0,73.3
187.0,73.3,13.3,20.0,20.0,73.3
188.0,73.3,13.3,20.0,16.7,73.3
189.0,80.0,13.3,20.0,16.7,80.0
190.0,80.0,13.3,20.0,16.7,80.0
191.0,80.0,13.3,20.0,16.7,80.0
192.0,80.0,13.3,20.0,16.7,80.0
193.0,83.3,20.0,20.0,16.7,83.3
194.0,83.3,20.0,20.0,16.7,83.3
195.0,83.3,20.0,20.0,16.7,83.3
196.0,83.3,20.0,20.0,16.7,83.3
197.0,80.0,20.0,20.0,16.7,80.0
198.0,80.0,20.0,20.0,16.7,80.0
199.0,86.7,20.0,20.0,16.7,86.7
200.0,86.7,20.0,20.0,16.7,86.7
201.0,86.7,20.0,20.0,16.7,86.7
202.0,83.3,23.3,20.0,16.7,83.3
203.0,83.3,30.0,20.0,16.7,83.3
204.0,83.3,30.0,20.0,16.7,83.3
205.0,76.7,30.0,20.0,16.7,76.7
206.0,73.3,30.0,23.3,16.7,73.3
207.0,66.7,30.0,33.3,16.7,66.7
208.0,63.3,30.0,33.3,16.7,63.3
209.0,63.3,36.7,33.3,16.7,63.3
210.0,63.3,36.7,33.3,16.7,63.3
211.0,60.0,40.0,33.3,16.7,60.0
212.0,56.7,40.0,36.7,16.7,56.7
213.0,53.3,43.3,36.7,16.7,53.3
214.0,50.0,43.3,40.0,16.7,50.0
215.0,50.0,43.3,40.0,16.7,50.0
216.0,50.0,43.3,40.0,16.7,50.0
217.0,70.0,43.3,33.3,16.7,70.0
218.0,73.3,43.3,33.3,16.7,73.3
219.0,76.7,43.3,30.0,20.0,76.7
220.0,76.7,43.3,30.0,20.0,76.7
221.0,83.3,43.3,20.0,23.3,83.3
222.0,83.3,43.3,16.7,23.3,83.3
223.0,83.3,43.3,10.0,23.3,83.3
224.0,83.3,43.3,10.0,23.3,83.3
225.0,83.3,50.0,10.0,23.3,83.3
226.0,83.3,50.0,6.7,23.3,83.3
227.0,83.3,50.0,3.3,23.3,83.3
228.0,83.3,50.0,10.0,23.3,83.3
229.0,80.0,50.0,13.3,23.3,80.0
230.0,76.7,50.0,13.3,23.3,76.7
231.0,70.0,50.0,13.3,23.3,70.0
232.0,76.7,50.0,13.3,23.3,76.7
233.0,73.3,50.0,13.3,23.3,73.3
234.0,73.3,50.0,13.3,23.3,73.3
235.0,76.7,50.0,13.3,23.3,76.7
236.0,76.7,50.0,13.3,23.3,76.7
237.0,73.3,53.3,13.3,23.3,73.3
238.0,73.3,53.3,13.3,23.3,73.3
239.0,73.3,53.3,13.3,23.3,73.3
240.0,70.0,56.7,13.3,23.3,70.0
241.0,76.7,63.3,6.7,23.3,76.7
242.0,83.3,63.3,3.3,23.3,83.3
243.0,83.3,63.3,0.0,23.3,83.3
244.0,83.3,63.3,0.0,23.3,83.3
245.0,83.3,63.3,0.0,23.3,83.3
246.0,83.3,70.0,0.0,23.3,83.3
247.0,80.0,70.0,3.3,20.0,80.0
248.0,80.0,70.0,10.0,20.0,80.0
249.0,73.3,70.0,13.3,16.7,73.3
250.0,70.0,70.0,13.3,16.7,70.0
251.0,70.0,70.0,13.3,16.7,70.0
252.0,70.0,70.0,13.3,13.3,70.0
253.0,70.0,70.0,13.3,13.3,70.0
254.0,73.3,70.0,13.3,13.3,73.3
255.0,70.0,70.0,13.3,13.3,70.0
256.0,70.0,70.0,13.3,13.3,70.0
257.0,70.0,76.7,13.3,13.3,76.7
258.0,73.3,73.3,13.3,13.3,73.3
259.0,76.7,70.0,13.3,13.3,76.7
260.0,80.0,66.7,13.3,13.3,80.0
261.0,86.7,66.7,13.3,13.3,86.7
262.0,93.3,60.0,13.3,13.3,93.3
263.0,96.7,53.3,13.3,13.3,96.7
264.0,96.7,46.7,13.3,13.3,96.7
265.0,100.0,36.7,13.3,13.3,100.0
266.0,100.0,33.3,16.7,13.3,100.0
267.0,100.0,26.7,16.7,13.3,100.0
268.0,100.0,26.7,16.7,13.3,100.0
269.0,100.0,26.7,23.3,13.3,100.0
270.0,100.0,26.7,23.3,13.3,100.0
271.0,100.0,26.7,23.3,13.3,100.0
272.0,100.0,26.7,23.3,13.3,100.0
273.0,100.0,30.0,23.3,16.7,100.0
274.0,100.0,30.0,23.3,16.7,100.0
275.0,100.0,33.3,23.3,16.7,100.0
276.0,100.0,30.0,23.3,16.7,100.0
277.0,100.0,30.0,23.3,16.7,100.0
278.0,100.0,30.0,23.3,16.7,100.0
279.0,100.0,30.0,23.3,16.7,100.0
280.0,100.0,30.0,23.3,16.7,100.0
281.0,100.0,26.7,23.3,20.0,100.0
282.0,100.0,26.7,26.7,20.0,100.0
283.0,100.0,30.0,26.7,23.3,100.0
284.0,100.0,26.7,23.3,23.3,100.0
285.0,100.0,30.0,20.0,23.3,100.0
