time,energy_per_task_mJ,local_component_mJ,fog_component_mJ,cloud_component_mJ
1.0,150.0,0.0,57.5,92.5
2.0,146.1,0.0,63.9,82.1
3.0,174.5,50.0,69.0,55.5
4.0,167.5,50.0,80.5,37.0
5.0,136.0,0.0,80.5,55.5
6.0,136.0,0.0,80.5,55.5
7.0,129.0,0.0,92.0,37.0
8.0,122.0,0.0,103.5,18.5
9.0,160.5,50.0,92.0,18.5
10.0,153.5,50.0,103.5,0.0
11.0,192.0,100.0,92.0,0.0
12.0,115.0,0.0,115.0,0.0
13.0,153.5,50.0,103.5,0.0
14.0,115.0,0.0,115.0,0.0
15.0,115.0,0.0,115.0,0.0
16.0,120.7,0.0,105.3,15.4
17.0,152.3,35.5,90.4,26.5
18.0,125.0,0.0,98.6,26.5
19.0,128.3,0.0,93.5,34.8
20.0,128.3,0.0,93.5,34.8
21.0,176.4,62.5,79.1,34.8
22.0,152.2,28.0,83.1,41.1
23.0,122.8,0.0,102.2,20.5
24.0,144.4,28.0,95.9,20.5
25.0,159.2,52.5,96.9,9.8
26.0,134.2,25.0,109.2,0.0
27.0,157.0,50.0,97.8,9.2
28.0,137.8,25.0,103.5,9.2
29.0,118.5,0.0,109.2,9.2
30.0,153.2,45.5,99.4,8.3
31.0,150.0,45.5,104.5,0.0
32.0,153.2,45.5,99.4,8.3
33.0,137.0,21.0,100.6,15.4
34.0,137.0,21.0,100.6,15.4
35.0,137.0,21.0,100.6,15.4
36.0,120.7,0.0,105.3,15.4
37.0,117.7,0.0,110.6,7.0
38.0,129.6,19.0,110.6,0.0
39.0,144.6,38.5,106.1,0.0
40.0,132.2,19.0,106.1,7.0
41.0,147.2,38.5,101.7,7.0
42.0,147.3,38.5,101.8,7.0
43.0,133.7,18.0,102.6,13.1
44.0,119.9,0.0,106.7,13.1
45.0,135.2,17.0,99.1,19.1
46.0,122.2,0.0,103.2,19.1
47.0,122.2,0.0,103.2,19.1
48.0,135.2,17.0,99.1,19.1
49.0,133.5,15.5,100.6,17.4
50.0,144.9,30.5,97.5,16.8
0.0,349.5,300.0,40.2,9.2
