time,task_completion_rate_pct,deadline_miss_ratio_pct,rsu_utilization_pct,fogv_utilization_pct,throughput_mbps,total_tasks,total_deadline_misses
1.0,100.0,50.0,0.0,25.12,30.932,8,4
2.0,100.0,47.06,0.0,24.16,28.066,17,8
3.0,100.0,40.74,0.0,23.1,29.225,27,11
4.0,0.0,35.14,0.0,22.92,28.727,37,13
5.0,66.67,27.66,49.46,11.89,29.349,47,13
6.0,82.35,22.81,40.39,7.95,30.798,57,13
7.0,88.46,19.4,53.51,6.39,30.486,67,13
8.0,91.67,16.88,31.74,12.63,31.146,77,13
9.0,93.48,14.94,42.63,9.33,31.259,87,13
10.0,94.64,13.4,39.73,9.37,30.737,97,13
11.0,95.45,12.15,40.59,16.14,30.866,107,13
12.0,96.05,11.11,36.88,6.96,30.928,117,13
13.0,96.47,10.24,22.55,20.15,30.749,127,13
14.0,96.81,9.49,34.85,4.63,30.949,137,13
15.0,97.03,8.84,33.33,17.41,30.569,147,13
16.0,97.2,8.81,29.76,13.22,30.97,159,14
17.0,97.35,9.25,33.6,24.87,31.631,173,16
18.0,97.52,9.09,30.66,22.1,32.76,187,17
19.0,96.18,8.87,31.98,22.22,33.519,203,18
20.0,95.77,8.68,24.28,26.25,34.364,219,19
21.0,96.08,8.94,32.04,14.97,35.148,235,21
22.0,96.32,9.49,28.39,19.33,36.027,253,24
23.0,96.0,10.04,26.15,12.75,36.565,269,27
24.0,96.26,10.21,17.63,23.51,37.208,284,29
25.0,96.46,10.67,26.31,21.07,37.651,300,32
26.0,96.21,10.44,18.07,17.76,38.48,316,33
27.0,96.4,9.94,48.61,21.24,38.658,332,33
28.0,96.55,9.51,41.56,23.06,39.088,347,33
29.0,96.71,9.12,45.48,19.57,39.88,362,33
30.0,96.85,8.97,43.71,18.27,40.426,379,34
31.0,96.99,8.84,40.81,17.63,40.883,396,35
32.0,97.12,8.96,46.27,14.55,41.322,413,37
33.0,97.24,9.05,42.8,16.81,42.162,431,39
34.0,97.36,8.91,43.12,20.97,42.925,449,40
35.0,97.46,8.78,46.01,16.56,43.293,467,41
36.0,97.55,8.66,44.43,15.72,43.714,485,42
37.0,97.65,8.51,57.36,16.58,44.236,505,43
38.0,97.75,8.38,60.76,21.7,44.79,525,44
39.0,97.83,8.26,44.54,14.54,45.337,545,45
40.0,97.89,8.32,28.53,18.91,45.99,565,47
41.0,97.68,8.21,54.03,13.19,46.896,585,48
42.0,97.73,8.1,47.36,16.45,47.233,605,49
43.0,97.79,7.81,40.54,24.74,47.698,627,49
44.0,97.84,7.73,33.2,22.55,48.326,647,50
45.0,97.89,7.77,57.03,22.51,48.739,669,52
46.0,97.94,7.81,61.14,16.11,49.479,691,54
47.0,98.0,7.71,56.53,20.36,50.076,713,55
48.0,97.83,7.76,53.42,17.12,50.724,735,57
49.0,97.89,7.76,51.47,18.64,51.45,760,59
50.0,97.94,7.63,49.09,20.23,52.182,786,60
51.0,97.99,7.51,43.45,23.13,52.813,812,61
52.0,98.03,7.41,59.3,22.82,53.52,837,62
53.0,98.07,7.31,56.72,20.3,54.068,862,63
54.0,98.11,7.11,76.71,20.91,54.755,886,63
55.0,98.14,7.02,63.33,17.54,55.396,912,64
56.0,98.16,6.82,62.63,20.55,55.904,938,64
57.0,98.19,6.64,50.89,22.07,56.202,964,64
58.0,98.21,6.46,76.1,22.29,56.907,990,64
59.0,98.23,6.39,52.34,23.86,57.642,1018,65
