time,edge_ms,fog_ms,cloud_ms,avg_weighted_ms
1.0,5.0,14.4,250.0,132.2
2.0,5.0,16.0,250.0,119.9
3.0,3.0,14.0,250.0,83.7
4.0,3.0,13.6,250.0,59.82
5.0,3.0,13.6,250.0,84.52
6.0,3.0,13.6,250.0,84.52
7.0,3.0,13.8,250.0,61.04
8.0,3.0,14.8,250.0,38.32
9.0,3.0,14.6,250.0,36.98
10.0,3.0,15.1,250.0,13.89
11.0,3.0,14.8,250.0,12.44
12.0,3.0,14.4,250.0,14.4
13.0,3.0,14.2,250.0,13.08
14.0,3.0,14.0,250.0,14.0
15.0,3.0,13.8,250.0,13.8
16.0,3.0,13.6,250.0,33.21
17.0,3.0,13.9,250.0,46.89
18.0,3.0,13.8,250.0,47.58
19.0,3.0,13.7,250.0,58.14
20.0,3.0,13.8,250.0,58.22
21.0,3.0,14.3,250.0,57.21
22.0,3.0,14.2,250.0,65.93
23.0,3.0,14.3,250.0,40.46
24.0,3.0,13.6,250.0,39.26
25.0,3.0,14.2,250.0,25.54
26.0,3.0,13.9,250.0,13.36
27.0,3.0,13.6,250.0,24.36
28.0,3.0,13.7,250.0,24.98
29.0,3.0,13.3,250.0,25.14
30.0,3.0,13.6,250.0,23.27
31.0,3.0,13.5,250.0,12.54
32.0,3.0,13.5,250.0,23.19
33.0,3.0,13.3,250.0,32.51
34.0,3.0,13.3,250.0,32.51
35.0,3.0,13.4,250.0,32.6
36.0,3.0,13.5,250.0,33.12
37.0,3.0,12.9,250.0,21.91
38.0,3.0,12.9,250.0,12.52
39.0,3.0,12.5,250.0,11.77
40.0,3.0,12.7,250.0,21.34
41.0,3.0,12.8,250.0,21.05
42.0,3.0,12.4,250.0,20.7
43.0,3.0,12.6,250.0,29.1
44.0,3.0,12.3,250.0,29.16
45.0,3.0,12.7,250.0,36.8
46.0,3.0,12.5,250.0,36.96
47.0,3.0,12.5,250.0,36.96
48.0,3.0,12.6,250.0,36.71
49.0,3.0,12.7,250.0,34.71
50.0,3.0,12.7,250.0,33.7
0.0,3.0,12.7,250.0,18.75
