time,tl_adjusted_total,rerouted_total
1.0,0,0
2.0,0,0
3.0,0,0
4.0,0,0
5.0,0,0
6.0,0,0
7.0,0,0
8.0,0,0
9.0,0,0
10.0,0,0
11.0,0,0
12.0,0,0
13.0,0,0
14.0,0,0
15.0,0,0
16.0,0,0
17.0,0,0
18.0,0,0
19.0,0,0
20.0,0,0
21.0,0,0
22.0,1,0
23.0,1,0
24.0,1,0
25.0,1,0
26.0,1,0
27.0,1,0
28.0,1,0
29.0,1,0
30.0,1,0
31.0,1,0
32.0,2,0
33.0,2,0
34.0,2,0
35.0,2,0
36.0,2,0
37.0,2,0
38.0,2,0
39.0,2,0
40.0,2,0
41.0,2,0
42.0,3,0
43.0,3,0
44.0,3,0
45.0,3,0
46.0,3,0
47.0,3,0
48.0,3,0
49.0,3,0
50.0,3,0
51.0,4,0
52.0,5,0
53.0,5,0
54.0,5,0
55.0,5,0
56.0,5,0
57.0,6,0
58.0,6,0
59.0,6,0
60.0,6,0
61.0,7,0
62.0,8,0
63.0,8,0
64.0,9,0
65.0,9,20
66.0,9,40
67.0,10,40
68.0,10,40
69.0,10,40
70.0,10,40
71.0,10,40
72.0,11,40
73.0,11,40
74.0,11,40
75.0,11,40
76.0,11,40
77.0,12,40
78.0,12,40
79.0,12,40
80.0,12,61
81.0,12,82
82.0,13,103
83.0,13,124
84.0,13,145
85.0,13,166
86.0,13,186
87.0,13,186
88.0,13,186
89.0,13,208
90.0,13,208
91.0,14,208
92.0,15,208
93.0,15,208
94.0,15,208
95.0,15,208
96.0,15,208
97.0,15,208
98.0,15,208
99.0,15,208
100.0,15,208
101.0,16,208
102.0,17,208
103.0,17,208
104.0,17,208
105.0,17,208
106.0,17,208
107.0,17,208
108.0,17,208
109.0,17,230
110.0,17,252
111.0,18,274
112.0,19,296
113.0,19,319
114.0,19,342
115.0,19,365
116.0,19,388
117.0,19,413
118.0,19,439
119.0,19,465
120.0,19,491
121.0,19,518
122.0,20,544
123.0,20,570
124.0,21,595
125.0,21,595
126.0,21,595
127.0,21,595
128.0,21,595
129.0,21,595
130.0,21,595
131.0,21,595
132.0,22,595
