time,tasks_processed,offloading_count
1.0,8,4
2.0,17,4
3.0,27,5
4.0,37,5
5.0,47,5
6.0,57,5
7.0,67,5
8.0,77,5
9.0,87,5
10.0,97,5
11.0,107,5
12.0,117,5
13.0,127,5
14.0,137,5
15.0,147,5
16.0,159,6
17.0,173,7
18.0,187,7
19.0,203,8
20.0,219,8
21.0,235,8
22.0,253,9
23.0,271,9
24.0,289,9
25.0,308,9
26.0,328,10
27.0,348,10
28.0,368,10
29.0,388,10
30.0,410,11
31.0,432,11
32.0,454,11
33.0,478,12
34.0,502,12
35.0,526,12
36.0,550,12
37.0,576,13
38.0,602,13
39.0,628,13
40.0,654,13
41.0,680,13
42.0,706,13
43.0,734,14
44.0,762,14
45.0,791,15
46.0,820,15
47.0,849,15
48.0,878,15
49.0,910,16
50.0,943,17
51.0,975,16
52.0,1007,16
53.0,1039,16
54.0,1071,16
55.0,1105,17
56.0,1138,17
57.0,1171,17
58.0,1204,17
59.0,1239,18
60.0,1274,18
61.0,1309,18
62.0,1344,18
63.0,1381,19
64.0,1418,19
65.0,1456,19
66.0,1494,19
67.0,1532,19
68.0,1570,19
69.0,1608,19
70.0,1646,19
71.0,1684,19
72.0,1722,19
73.0,1762,20
74.0,1803,20
75.0,1844,21
76.0,1884,21
77.0,1921,19
78.0,1958,19
79.0,1995,19
80.0,2032,19
81.0,2070,19
82.0,2108,19
83.0,2146,19
84.0,2186,20
85.0,2226,20
86.0,2266,20
87.0,2306,20
88.0,2347,21
89.0,2388,21
90.0,2429,21
91.0,2471,21
92.0,2512,21
93.0,2551,20
94.0,2590,20
95.0,2628,19
96.0,2665,18
97.0,2705,19
98.0,2746,20
99.0,2785,19
100.0,2824,19
101.0,2863,19
102.0,2904,20
103.0,2944,19
104.0,2986,20
105.0,3028,20
106.0,3069,20
107.0,3110,20
108.0,3151,20
109.0,3194,21
110.0,3237,21
111.0,3280,21
112.0,3323,21
113.0,3367,22
114.0,3411,22
115.0,3452,21
116.0,3493,21
117.0,3536,22
118.0,3578,21
119.0,3620,21
120.0,3662,21
121.0,3705,21
122.0,3749,22
123.0,3793,22
124.0,3837,22
125.0,3883,23
126.0,3928,22
127.0,3975,23
128.0,4020,23
129.0,4067,24
130.0,4111,23
131.0,4156,23
132.0,4199,22
133.0,4240,21
134.0,4281,21
135.0,4321,20
136.0,4361,20
137.0,4401,20
138.0,4439,19
139.0,4477,19
140.0,4515,19
141.0,4553,19
142.0,4591,19
143.0,4629,19
144.0,4667,19
145.0,4713,23
146.0,4759,23
147.0,4806,24
148.0,4852,23
149.0,4897,22
150.0,4942,22
151.0,4986,22
152.0,5029,22
153.0,5071,21
154.0,5112,21
155.0,5151,20
156.0,5189,19
157.0,5227,19
158.0,5264,19
159.0,5301,19
160.0,5340,20
161.0,5381,21
162.0,5421,21
163.0,5461,21
164.0,5500,20
165.0,5538,20
166.0,5578,21
167.0,5618,21
168.0,5658,21
169.0,5699,21
170.0,5741,22
171.0,5783,22
172.0,5824,21
173.0,5865,21
174.0,5907,21
175.0,5949,21
176.0,5991,21
177.0,6033,21
178.0,6074,21
179.0,6114,20
180.0,6154,20
181.0,6195,21
182.0,6234,20
183.0,6273,20
184.0,6312,20
185.0,6351,20
186.0,6390,20
187.0,6431,21
188.0,6472,21
189.0,6515,22
190.0,6558,22
191.0,6601,22
192.0,6644,22
193.0,6690,23
194.0,6737,24
195.0,6784,24
196.0,6831,24
197.0,6878,24
198.0,6925,24
199.0,6974,25
200.0,7023,25
201.0,7072,25
202.0,7121,25
203.0,7172,26
204.0,7222,25
205.0,7272,25
206.0,7322,25
207.0,7374,26
208.0,7426,26
209.0,7480,27
210.0,7534,27
211.0,7588,27
