time,total_vehicles,fog_nodes,fog_ratio_pct
1.0,8,4,50.0
2.0,9,4,44.4
3.0,10,5,50.0
4.0,10,5,50.0
5.0,10,5,50.0
6.0,10,5,50.0
7.0,10,5,50.0
8.0,10,5,50.0
9.0,10,5,50.0
10.0,10,5,50.0
11.0,10,5,50.0
12.0,10,5,50.0
13.0,10,5,50.0
14.0,10,5,50.0
15.0,10,5,50.0
16.0,12,6,50.0
17.0,14,7,50.0
18.0,14,7,50.0
19.0,16,8,50.0
20.0,16,8,50.0
21.0,16,8,50.0
22.0,18,9,50.0
23.0,16,8,50.0
24.0,15,8,53.3
25.0,16,8,50.0
26.0,16,8,50.0
27.0,16,8,50.0
28.0,15,8,53.3
29.0,15,8,53.3
30.0,17,9,52.9
31.0,17,9,52.9
32.0,17,9,52.9
33.0,18,9,50.0
34.0,18,9,50.0
35.0,18,9,50.0
36.0,18,9,50.0
37.0,20,10,50.0
38.0,20,10,50.0
39.0,20,10,50.0
40.0,20,10,50.0
41.0,20,10,50.0
42.0,20,10,50.0
43.0,22,11,50.0
44.0,20,10,50.0
45.0,22,11,50.0
46.0,22,11,50.0
47.0,22,11,50.0
48.0,22,11,50.0
49.0,25,12,48.0
50.0,26,13,50.0
51.0,26,13,50.0
52.0,25,12,48.0
53.0,25,12,48.0
54.0,24,12,50.0
55.0,26,13,50.0
56.0,26,13,50.0
57.0,26,13,50.0
58.0,26,13,50.0
59.0,28,14,50.0
60.0,28,14,50.0
61.0,28,14,50.0
62.0,28,14,50.0
63.0,30,15,50.0
64.0,30,15,50.0
65.0,32,16,50.0
66.0,32,16,50.0
67.0,32,16,50.0
68.0,32,16,50.0
69.0,32,16,50.0
70.0,32,16,50.0
71.0,32,16,50.0
72.0,32,16,50.0
73.0,36,18,50.0
74.0,37,18,48.6
75.0,38,19,50.0
76.0,38,19,50.0
77.0,38,19,50.0
78.0,38,19,50.0
79.0,38,19,50.0
80.0,38,19,50.0
81.0,40,20,50.0
82.0,38,19,50.0
83.0,38,19,50.0
84.0,39,19,48.7
85.0,38,19,50.0
86.0,38,19,50.0
87.0,36,18,50.0
88.0,36,18,50.0
89.0,35,17,48.6
90.0,34,17,50.0
91.0,35,17,48.6
92.0,34,17,50.0
93.0,33,17,51.5
94.0,32,16,50.0
95.0,32,16,50.0
96.0,32,16,50.0
97.0,33,16,48.5
98.0,34,17,50.0
99.0,32,16,50.0
100.0,32,16,50.0
101.0,30,14,46.7
102.0,30,14,46.7
103.0,28,14,50.0
104.0,30,15,50.0
105.0,29,14,48.3
106.0,29,14,48.3
107.0,27,14,51.9
108.0,24,12,50.0
109.0,24,12,50.0
110.0,23,11,47.8
111.0,22,11,50.0
112.0,22,11,50.0
113.0,24,12,50.0
114.0,24,12,50.0
115.0,24,12,50.0
116.0,24,12,50.0
117.0,26,13,50.0
118.0,26,13,50.0
119.0,26,13,50.0
120.0,26,13,50.0
121.0,27,13,48.1
122.0,28,14,50.0
123.0,28,14,50.0
124.0,28,14,50.0
125.0,30,15,50.0
126.0,30,15,50.0
