time,RSU_J1,RSU_J2,RSU_J3,RSU_J4,max_congestion_pct
1.0,0,0,0,0,0.0
2.0,16.7,6.7,6.7,0.0,16.7
3.0,20.0,6.7,6.7,0.0,20.0
4.0,20.0,6.7,6.7,0.0,20.0
5.0,20.0,6.7,6.7,0.0,20.0
6.0,20.0,6.7,6.7,0.0,20.0
7.0,20.0,6.7,6.7,0.0,20.0
8.0,20.0,6.7,6.7,0.0,20.0
9.0,23.3,6.7,6.7,0.0,23.3
10.0,23.3,10.0,6.7,0.0,23.3
11.0,26.7,10.0,6.7,0.0,26.7
12.0,26.7,10.0,6.7,0.0,26.7
13.0,30.0,6.7,10.0,0.0,30.0
14.0,26.7,10.0,10.0,0.0,26.7
15.0,33.3,10.0,6.7,0.0,33.3
16.0,33.3,10.0,6.7,0.0,33.3
17.0,40.0,10.0,3.3,0.0,40.0
18.0,40.0,10.0,3.3,0.0,40.0
19.0,40.0,13.3,3.3,0.0,40.0
20.0,36.7,16.7,3.3,0.0,36.7
21.0,40.0,16.7,3.3,0.0,40.0
22.0,43.3,13.3,3.3,0.0,43.3
23.0,40.0,10.0,3.3,0.0,40.0
24.0,36.7,10.0,6.7,0.0,36.7
25.0,40.0,10.0,6.7,0.0,40.0
26.0,43.3,6.7,3.3,0.0,43.3
27.0,43.3,6.7,3.3,0.0,43.3
28.0,46.7,10.0,3.3,0.0,46.7
29.0,46.7,10.0,3.3,0.0,46.7
30.0,46.7,10.0,3.3,0.0,46.7
31.0,50.0,6.7,3.3,0.0,50.0
32.0,50.0,6.7,3.3,0.0,50.0
33.0,50.0,3.3,10.0,0.0,50.0
34.0,50.0,3.3,10.0,0.0,50.0
35.0,46.7,3.3,13.3,0.0,46.7
36.0,43.3,6.7,16.7,0.0,43.3
37.0,40.0,10.0,20.0,0.0,40.0
38.0,33.3,13.3,20.0,0.0,33.3
39.0,33.3,13.3,16.7,0.0,33.3
40.0,36.7,10.0,16.7,0.0,36.7
41.0,36.7,13.3,16.7,0.0,36.7
42.0,40.0,13.3,16.7,0.0,40.0
43.0,40.0,13.3,16.7,0.0,40.0
44.0,40.0,13.3,16.7,0.0,40.0
45.0,40.0,13.3,16.7,0.0,40.0
46.0,36.7,16.7,20.0,0.0,36.7
47.0,33.3,20.0,23.3,0.0,33.3
48.0,33.3,20.0,23.3,0.0,33.3
49.0,36.7,20.0,23.3,0.0,36.7
50.0,36.7,16.7,23.3,3.3,36.7
51.0,40.0,16.7,23.3,3.3,40.0
52.0,40.0,16.7,23.3,3.3,40.0
53.0,40.0,16.7,23.3,3.3,40.0
54.0,36.7,16.7,23.3,3.3,36.7
55.0,40.0,20.0,23.3,3.3,40.0
56.0,36.7,20.0,26.7,3.3,36.7
57.0,40.0,20.0,26.7,3.3,40.0
58.0,40.0,20.0,26.7,3.3,40.0
59.0,40.0,20.0,30.0,3.3,40.0
60.0,40.0,20.0,30.0,3.3,40.0
61.0,40.0,23.3,30.0,3.3,40.0
62.0,40.0,23.3,30.0,3.3,40.0
63.0,40.0,23.3,30.0,3.3,40.0
64.0,43.3,26.7,26.7,3.3,43.3
65.0,43.3,26.7,30.0,3.3,43.3
66.0,43.3,26.7,30.0,3.3,43.3
67.0,46.7,26.7,26.7,3.3,46.7
68.0,50.0,26.7,26.7,3.3,50.0
69.0,50.0,26.7,26.7,3.3,50.0
70.0,50.0,26.7,30.0,3.3,50.0
71.0,53.3,26.7,30.0,3.3,53.3
72.0,53.3,26.7,26.7,3.3,53.3
73.0,60.0,30.0,20.0,3.3,60.0
74.0,63.3,30.0,13.3,3.3,63.3
75.0,56.7,36.7,10.0,3.3,56.7
76.0,53.3,40.0,6.7,3.3,53.3
77.0,53.3,40.0,6.7,3.3,53.3
78.0,53.3,40.0,6.7,3.3,53.3
79.0,46.7,43.3,3.3,3.3,46.7
80.0,43.3,43.3,3.3,3.3,43.3
81.0,50.0,43.3,3.3,3.3,50.0
82.0,53.3,46.7,6.7,3.3,53.3
83.0,53.3,46.7,6.7,3.3,53.3
84.0,56.7,43.3,6.7,3.3,56.7
85.0,53.3,50.0,3.3,3.3,53.3
86.0,53.3,50.0,3.3,3.3,53.3
87.0,53.3,50.0,3.3,3.3,53.3
88.0,53.3,50.0,3.3,3.3,53.3
89.0,56.7,50.0,3.3,3.3,56.7
90.0,50.0,50.0,3.3,3.3,50.0
91.0,53.3,46.7,3.3,6.7,53.3
92.0,50.0,43.3,3.3,6.7,50.0
93.0,46.7,43.3,6.7,10.0,46.7
94.0,50.0,36.7,6.7,10.0,50.0
95.0,50.0,36.7,6.7,10.0,50.0
96.0,53.3,33.3,6.7,10.0,53.3
97.0,56.7,33.3,6.7,10.0,56.7
98.0,56.7,30.0,6.7,10.0,56.7
99.0,56.7,33.3,6.7,10.0,56.7
100.0,56.7,33.3,6.7,10.0,56.7
101.0,60.0,30.0,6.7,10.0,60.0
102.0,60.0,30.0,6.7,10.0,60.0
103.0,60.0,26.7,6.7,10.0,60.0
104.0,60.0,26.7,13.3,10.0,60.0
105.0,63.3,26.7,13.3,10.0,63.3
106.0,63.3,26.7,13.3,6.7,63.3
107.0,60.0,26.7,13.3,3.3,60.0
108.0,63.3,26.7,13.3,6.7,63.3
109.0,56.7,26.7,13.3,3.3,56.7
110.0,56.7,23.3,13.3,6.7,56.7
111.0,63.3,20.0,13.3,6.7,63.3
112.0,60.0,16.7,13.3,6.7,60.0
113.0,63.3,16.7,13.3,6.7,63.3
114.0,63.3,13.3,13.3,6.7,63.3
115.0,63.3,13.3,13.3,6.7,63.3
116.0,63.3,10.0,16.7,6.7,63.3
117.0,63.3,10.0,16.7,6.7,63.3
118.0,63.3,10.0,16.7,6.7,63.3
119.0,60.0,13.3,16.7,6.7,60.0
120.0,60.0,10.0,16.7,6.7,60.0
121.0,66.7,6.7,20.0,6.7,66.7
122.0,63.3,6.7,26.7,3.3,63.3
123.0,66.7,6.7,26.7,0.0,66.7
124.0,56.7,6.7,33.3,0.0,56.7
125.0,56.7,6.7,33.3,0.0,56.7
126.0,43.3,10.0,40.0,0.0,43.3
127.0,36.7,10.0,46.7,0.0,46.7
128.0,33.3,10.0,50.0,0.0,50.0
129.0,33.3,6.7,56.7,0.0,56.7
130.0,33.3,6.7,56.7,0.0,56.7
131.0,36.7,6.7,56.7,0.0,56.7
132.0,36.7,6.7,56.7,0.0,56.7
133.0,36.7,6.7,56.7,0.0,56.7
134.0,36.7,3.3,56.7,3.3,56.7
135.0,40.0,6.7,56.7,3.3,56.7
136.0,36.7,6.7,60.0,3.3,60.0
137.0,36.7,6.7,63.3,3.3,63.3
138.0,40.0,3.3,63.3,3.3,63.3
139.0,36.7,3.3,70.0,3.3,70.0
140.0,36.7,3.3,70.0,3.3,70.0
141.0,40.0,3.3,70.0,3.3,70.0
142.0,40.0,3.3,70.0,3.3,70.0
143.0,40.0,3.3,70.0,3.3,70.0
144.0,40.0,6.7,70.0,3.3,70.0
145.0,46.7,6.7,70.0,3.3,70.0
146.0,43.3,6.7,73.3,3.3,73.3
147.0,43.3,6.7,73.3,3.3,73.3
148.0,43.3,6.7,76.7,3.3,76.7
149.0,43.3,6.7,76.7,3.3,76.7
150.0,43.3,6.7,80.0,3.3,80.0
151.0,46.7,6.7,80.0,3.3,80.0
152.0,46.7,6.7,80.0,3.3,80.0
153.0,56.7,10.0,73.3,3.3,73.3
154.0,60.0,10.0,70.0,3.3,70.0
155.0,63.3,10.0,63.3,6.7,63.3
156.0,70.0,10.0,56.7,6.7,70.0
157.0,73.3,10.0,50.0,6.7,73.3
158.0,73.3,10.0,46.7,6.7,73.3
159.0,73.3,10.0,43.3,10.0,73.3
160.0,73.3,10.0,40.0,10.0,73.3
161.0,80.0,13.3,40.0,10.0,80.0
162.0,76.7,23.3,36.7,13.3,76.7
163.0,73.3,26.7,33.3,13.3,73.3
164.0,73.3,30.0,26.7,13.3,73.3
165.0,70.0,33.3,20.0,16.7,70.0
166.0,60.0,36.7,20.0,16.7,60.0
167.0,56.7,40.0,13.3,20.0,56.7
168.0,50.0,40.0,10.0,20.0,50.0
169.0,50.0,43.3,6.7,23.3,50.0
170.0,50.0,46.7,6.7,23.3,50.0
171.0,56.7,43.3,6.7,23.3,56.7
172.0,60.0,40.0,3.3,26.7,60.0
173.0,63.3,36.7,6.7,26.7,63.3
174.0,63.3,33.3,6.7,26.7,63.3
175.0,70.0,26.7,6.7,26.7,70.0
176.0,76.7,16.7,3.3,26.7,76.7
177.0,80.0,16.7,3.3,26.7,80.0
178.0,80.0,10.0,3.3,26.7,80.0
179.0,76.7,10.0,6.7,26.7,76.7
180.0,73.3,10.0,10.0,26.7,73.3
181.0,80.0,3.3,13.3,26.7,80.0
182.0,76.7,3.3,16.7,26.7,76.7
183.0,73.3,3.3,20.0,26.7,73.3
184.0,70.0,3.3,23.3,23.3,70.0
185.0,70.0,3.3,26.7,23.3,70.0
186.0,70.0,3.3,23.3,23.3,70.0
187.0,63.3,3.3,23.3,20.0,63.3
188.0,63.3,6.7,23.3,16.7,63.3
189.0,60.0,6.7,23.3,16.7,60.0
190.0,50.0,6.7,26.7,16.7,50.0
191.0,53.3,3.3,26.7,16.7,53.3
192.0,53.3,3.3,26.7,16.7,53.3
193.0,56.7,3.3,23.3,16.7,56.7
194.0,53.3,3.3,23.3,20.0,53.3
195.0,53.3,3.3,20.0,20.0,53.3
196.0,53.3,3.3,23.3,20.0,53.3
197.0,50.0,6.7,23.3,23.3,50.0
198.0,53.3,6.7,16.7,23.3,53.3
199.0,53.3,3.3,16.7,23.3,53.3
200.0,53.3,3.3,13.3,23.3,53.3
201.0,60.0,3.3,13.3,23.3,60.0
202.0,63.3,3.3,13.3,23.3,63.3
203.0,60.0,3.3,16.7,23.3,60.0
204.0,60.0,3.3,16.7,23.3,60.0
205.0,60.0,3.3,16.7,23.3,60.0
206.0,60.0,6.7,16.7,23.3,60.0
207.0,56.7,6.7,26.7,23.3,56.7
208.0,56.7,6.7,26.7,23.3,56.7
209.0,60.0,6.7,26.7,23.3,60.0
210.0,60.0,6.7,26.7,23.3,60.0
211.0,63.3,6.7,26.7,23.3,63.3
212.0,60.0,6.7,26.7,23.3,60.0
213.0,60.0,6.7,26.7,23.3,60.0
214.0,60.0,6.7,26.7,23.3,60.0
215.0,63.3,10.0,26.7,23.3,63.3
216.0,63.3,10.0,26.7,23.3,63.3
217.0,70.0,10.0,26.7,23.3,70.0
218.0,70.0,10.0,26.7,23.3,70.0
219.0,70.0,10.0,30.0,23.3,70.0
220.0,70.0,10.0,30.0,23.3,70.0
221.0,73.3,13.3,23.3,26.7,73.3
222.0,73.3,16.7,20.0,26.7,73.3
223.0,70.0,23.3,13.3,30.0,70.0
224.0,70.0,26.7,13.3,30.0,70.0
225.0,70.0,30.0,10.0,30.0,70.0
226.0,56.7,36.7,10.0,30.0,56.7
227.0,56.7,36.7,10.0,30.0,56.7
228.0,56.7,36.7,10.0,30.0,56.7
229.0,46.7,43.3,6.7,30.0,46.7
230.0,40.0,43.3,6.7,30.0,43.3
231.0,40.0,43.3,6.7,30.0,43.3
232.0,43.3,36.7,6.7,30.0,43.3
233.0,50.0,40.0,3.3,30.0,50.0
234.0,53.3,33.3,3.3,30.0,53.3
235.0,53.3,30.0,3.3,30.0,53.3
236.0,56.7,20.0,3.3,30.0,56.7
237.0,56.7,20.0,3.3,30.0,56.7
238.0,56.7,16.7,3.3,30.0,56.7
239.0,56.7,16.7,3.3,30.0,56.7
240.0,50.0,10.0,10.0,30.0,50.0
241.0,56.7,6.7,10.0,30.0,56.7
242.0,53.3,13.3,16.7,30.0,53.3
243.0,63.3,10.0,13.3,30.0,63.3
244.0,56.7,13.3,13.3,30.0,56.7
245.0,53.3,13.3,13.3,30.0,53.3
246.0,50.0,13.3,16.7,30.0,50.0
247.0,43.3,16.7,16.7,30.0,43.3
248.0,40.0,16.7,16.7,30.0,40.0
249.0,43.3,16.7,16.7,30.0,43.3
250.0,43.3,20.0,16.7,30.0,43.3
251.0,46.7,20.0,16.7,30.0,46.7
252.0,50.0,16.7,13.3,30.0,50.0
253.0,53.3,13.3,16.7,30.0,53.3
254.0,53.3,13.3,16.7,30.0,53.3
255.0,53.3,13.3,20.0,30.0,53.3
256.0,50.0,13.3,20.0,30.0,50.0
257.0,53.3,13.3,20.0,30.0,53.3
258.0,53.3,13.3,20.0,30.0,53.3
259.0,53.3,16.7,20.0,30.0,53.3
260.0,53.3,16.7,20.0,30.0,53.3
261.0,56.7,13.3,20.0,33.3,56.7
262.0,56.7,13.3,20.0,33.3,56.7
263.0,53.3,16.7,20.0,33.3,53.3
264.0,53.3,16.7,23.3,33.3,53.3
265.0,56.7,16.7,23.3,33.3,56.7
266.0,56.7,16.7,23.3,33.3,56.7
267.0,56.7,16.7,23.3,33.3,56.7
268.0,60.0,16.7,23.3,36.7,60.0
269.0,60.0,16.7,23.3,36.7,60.0
270.0,60.0,16.7,23.3,36.7,60.0
271.0,66.7,16.7,23.3,36.7,66.7
272.0,66.7,16.7,23.3,36.7,66.7
273.0,63.3,23.3,23.3,33.3,63.3
274.0,63.3,23.3,23.3,33.3,63.3
275.0,56.7,30.0,23.3,33.3,56.7
276.0,56.7,30.0,26.7,33.3,56.7
277.0,46.7,36.7,26.7,33.3,46.7
278.0,46.7,36.7,26.7,33.3,46.7
279.0,36.7,40.0,26.7,33.3,40.0
280.0,30.0,40.0,26.7,33.3,40.0
281.0,40.0,40.0,26.7,33.3,40.0
282.0,36.7,36.7,26.7,30.0,36.7
283.0,36.7,36.7,26.7,30.0,36.7
284.0,33.3,40.0,26.7,30.0,40.0
285.0,33.3,40.0,26.7,30.0,40.0
