time,edge_pct,fog_pct,cloud_pct
1.0,0.0,50.0,50.0
2.0,22.2,44.4,33.3
3.0,10.0,70.0,20.0
4.0,0.0,70.0,30.0
5.0,10.0,60.0,30.0
6.0,10.0,70.0,20.0
7.0,10.0,80.0,10.0
8.0,0.0,90.0,10.0
9.0,9.1,72.8,18.2
10.0,8.3,83.3,8.3
11.0,7.7,84.6,7.7
12.0,7.7,84.6,7.7
13.0,14.3,71.4,14.3
14.0,0.0,85.7,14.3
15.0,0.0,86.6,13.3
16.0,26.7,60.0,13.3
17.0,12.5,75.0,12.5
18.0,6.3,87.5,6.3
19.0,5.9,82.4,11.8
20.0,5.9,82.4,11.8
21.0,5.6,77.8,16.7
22.0,0.0,83.3,16.7
23.0,5.6,77.8,16.7
24.0,5.3,73.7,21.1
25.0,10.0,65.0,25.0
26.0,0.0,75.0,25.0
27.0,10.0,75.0,15.0
28.0,4.5,77.2,18.2
29.0,9.1,77.2,13.6
30.0,0.0,81.8,18.2
31.0,4.3,73.9,21.7
32.0,8.7,78.3,13.0
33.0,4.2,79.2,16.7
34.0,4.2,79.2,16.7
35.0,8.3,83.3,8.3
36.0,4.0,84.0,12.0
37.0,7.7,80.7,11.5
38.0,7.7,77.0,15.4
39.0,7.7,77.0,15.4
40.0,7.7,84.6,7.7
41.0,13.8,72.4,13.8
42.0,6.9,82.7,10.3
43.0,3.4,82.8,13.8
44.0,3.4,82.7,13.8
45.0,3.6,82.2,14.3
46.0,0.0,86.2,13.8
47.0,0.0,86.7,13.3
48.0,3.3,86.7,10.0
49.0,3.2,83.9,12.9
50.0,6.5,80.7,12.9
51.0,3.2,83.8,12.9
52.0,0.0,83.9,16.1
53.0,10.0,86.6,3.3
54.0,6.7,86.7,6.7
55.0,0.0,90.6,9.4
56.0,3.2,90.3,6.5
57.0,9.4,81.3,9.4
58.0,6.3,84.4,9.4
59.0,3.0,84.8,12.1
60.0,0.0,87.8,12.1
61.0,8.8,82.3,8.8
62.0,8.8,82.3,8.8
63.0,2.9,88.2,8.8
64.0,5.7,82.9,11.4
65.0,2.9,85.2,11.8
66.0,2.9,85.2,11.8
67.0,2.9,85.2,11.8
68.0,11.4,77.2,11.4
69.0,5.7,82.8,11.4
70.0,2.8,83.3,13.9
71.0,8.1,75.7,16.2
72.0,2.7,78.4,18.9
73.0,5.0,77.5,17.5
74.0,5.0,80.0,15.0
75.0,5.0,87.5,7.5
76.0,2.5,85.0,12.5
77.0,0.0,85.0,15.0
78.0,10.0,67.5,22.5
79.0,5.0,70.0,25.0
80.0,7.5,72.5,20.0
81.0,2.3,74.4,23.3
82.0,0.0,82.6,17.4
83.0,11.4,75.0,13.6
84.0,6.8,75.0,18.2
85.0,6.8,77.3,15.9
86.0,4.5,81.9,13.6
87.0,4.8,73.8,21.4
88.0,9.8,75.6,14.6
89.0,4.8,78.5,16.7
90.0,7.5,75.0,17.5
91.0,7.1,71.5,21.4
92.0,5.0,80.0,15.0
93.0,2.4,80.4,17.1
94.0,4.9,80.5,14.6
95.0,0.0,88.1,11.9
96.0,7.1,85.7,7.1
97.0,7.0,81.4,11.6
98.0,7.0,79.1,14.0
99.0,2.3,81.8,15.9
100.0,4.5,75.0,20.5
101.0,2.2,80.0,17.8
102.0,2.3,84.1,13.6
103.0,6.8,79.5,13.6
104.0,2.2,82.6,15.2
105.0,2.2,78.2,19.6
106.0,4.4,84.5,11.1
107.0,0.0,82.3,17.8
108.0,2.2,78.3,19.6
109.0,2.2,76.1,21.7
