time,energy_per_task_mJ,local_component_mJ,fog_component_mJ,cloud_component_mJ
1.0,150.0,0.0,57.5,92.5
2.0,223.7,111.0,51.1,61.6
3.0,167.5,50.0,80.5,37.0
4.0,136.0,0.0,80.5,55.5
5.0,174.5,50.0,69.0,55.5
6.0,167.5,50.0,80.5,37.0
7.0,160.5,50.0,92.0,18.5
8.0,122.0,0.0,103.5,18.5
9.0,162.9,45.5,83.7,33.7
10.0,152.7,41.5,95.8,15.4
11.0,150.0,38.5,97.3,14.2
12.0,150.0,38.5,97.3,14.2
13.0,180.1,71.5,82.1,26.5
14.0,125.0,0.0,98.6,26.5
15.0,124.2,0.0,99.6,24.6
16.0,227.1,133.5,69.0,24.6
17.0,171.9,62.5,86.2,23.1
18.0,143.8,31.5,100.6,11.7
19.0,146.1,29.5,94.8,21.8
20.0,146.1,29.5,94.8,21.8
21.0,148.4,28.0,89.5,30.9
22.0,126.7,0.0,95.8,30.9
23.0,148.4,28.0,89.5,30.9
24.0,150.3,26.5,84.8,39.0
25.0,171.0,50.0,74.8,46.2
26.0,132.5,0.0,86.2,46.2
27.0,164.0,50.0,86.2,27.8
28.0,144.9,22.5,88.8,33.7
29.0,159.4,45.5,88.8,25.2
30.0,127.7,0.0,94.1,33.7
31.0,146.6,21.5,85.0,40.1
32.0,157.6,43.5,90.0,24.1
33.0,143.0,21.0,91.1,30.9
34.0,143.0,21.0,91.1,30.9
35.0,152.7,41.5,95.8,15.4
36.0,138.8,20.0,96.6,22.2
37.0,152.6,38.5,92.8,21.3
38.0,155.5,38.5,88.5,28.5
39.0,155.5,38.5,88.5,28.5
40.0,150.0,38.5,97.3,14.2
41.0,177.8,69.0,83.3,25.5
42.0,148.7,34.5,95.1,19.1
43.0,137.8,17.0,95.2,25.5
44.0,137.6,17.0,95.1,25.5
45.0,139.0,18.0,94.5,26.5
46.0,124.7,0.0,99.1,25.5
47.0,124.3,0.0,99.7,24.6
48.0,134.7,16.5,99.7,18.5
49.0,136.4,16.0,96.5,23.9
50.0,149.2,32.5,92.8,23.9
51.0,136.2,16.0,96.4,23.9
52.0,126.3,0.0,96.5,29.8
53.0,155.7,50.0,99.6,6.1
54.0,145.6,33.5,99.7,12.4
55.0,121.6,0.0,104.2,17.4
56.0,131.9,16.0,103.8,12.0
57.0,157.9,47.0,93.5,17.4
58.0,145.9,31.5,97.1,17.4
59.0,134.9,15.0,97.5,22.4
60.0,123.4,0.0,101.0,22.4
61.0,154.9,44.0,94.6,16.3
62.0,154.9,44.0,94.6,16.3
63.0,132.2,14.5,101.4,16.3
