time,task_completion_rate_pct,deadline_miss_ratio_pct,rsu_utilization_pct,fogv_utilization_pct,throughput_mbps,total_tasks,total_deadline_misses
1.0,100.0,50.0,0.0,25.12,30.932,8,4
2.0,100.0,47.06,0.0,24.16,28.066,17,8
3.0,100.0,40.74,0.0,23.1,29.225,27,11
4.0,0.0,35.14,0.0,22.92,28.727,37,13
5.0,66.67,27.66,49.46,11.89,29.349,47,13
6.0,82.35,22.81,40.39,7.95,30.798,57,13
7.0,88.46,19.4,53.51,6.39,30.486,67,13
8.0,91.67,16.88,31.74,12.63,31.146,77,13
9.0,93.48,15.91,42.63,11.0,31.8,88,14
10.0,94.64,16.0,29.5,18.95,31.394,100,16
11.0,95.45,16.81,41.6,10.02,32.695,113,19
12.0,96.1,16.67,39.02,8.96,33.226,126,21
13.0,96.55,17.14,32.01,17.0,34.08,140,24
14.0,96.91,16.23,39.04,16.69,34.096,154,25
15.0,97.2,15.98,42.27,23.39,35.205,169,27
16.0,97.41,15.76,32.94,21.11,36.15,184,29
17.0,97.62,15.5,44.46,32.48,36.864,200,31
18.0,97.79,14.81,50.74,28.13,37.735,216,32
19.0,97.28,14.16,44.3,22.56,38.433,233,33
20.0,97.44,14.0,42.2,22.27,39.332,250,35
21.0,97.56,13.81,33.89,25.18,40.001,268,37
22.0,97.65,13.99,24.53,36.32,40.812,286,40
23.0,97.74,14.24,38.09,30.83,41.168,302,43
24.0,97.86,14.47,21.99,30.05,41.99,318,46
25.0,97.5,14.63,30.35,36.48,42.379,335,49
26.0,97.65,14.53,43.62,65.84,42.675,351,51
27.0,97.79,14.71,20.51,60.47,43.638,367,54
28.0,97.91,14.81,32.83,64.92,44.062,385,57
29.0,98.02,14.89,35.96,65.8,44.49,403,60
30.0,98.11,14.73,32.77,72.35,45.014,421,62
31.0,98.2,14.58,26.16,76.61,45.982,439,64
32.0,98.29,14.0,38.0,71.77,46.234,457,64
33.0,98.05,13.66,39.34,52.51,46.824,476,65
34.0,97.83,13.54,45.41,49.28,47.257,495,67
35.0,97.62,13.42,58.31,54.68,47.671,514,69
36.0,97.42,13.48,51.32,37.9,47.97,534,72
37.0,97.24,13.51,46.36,28.5,48.615,555,75
38.0,97.33,13.74,70.19,22.85,49.507,575,79
39.0,97.42,13.97,72.45,6.95,50.056,594,83
40.0,97.5,14.36,72.82,3.21,50.094,613,88
41.0,97.58,14.38,93.25,8.18,50.58,633,91
42.0,97.65,14.53,100.0,12.38,51.086,654,95
43.0,97.71,14.67,100.0,18.8,51.593,675,99
44.0,97.76,14.8,73.66,23.68,52.225,696,103
45.0,97.6,14.78,63.77,44.83,52.599,717,106
46.0,97.44,14.88,85.61,32.48,53.264,739,110
47.0,97.49,14.96,79.83,37.18,53.753,762,114
48.0,97.54,15.03,75.6,30.98,54.32,785,118
49.0,97.58,15.2,92.68,15.25,54.767,809,123
50.0,97.42,15.13,94.94,27.49,55.286,833,126
51.0,97.46,15.15,96.43,44.71,55.82,858,130
52.0,97.3,15.06,100.0,45.32,56.62,883,133
53.0,97.34,15.09,98.33,45.97,57.174,908,137
54.0,97.37,15.02,92.23,40.51,57.538,932,140
55.0,97.4,15.14,80.52,53.14,58.026,958,145
56.0,97.44,15.14,98.76,59.04,58.572,984,149
57.0,97.48,15.23,85.54,61.0,59.205,1011,154
58.0,97.53,15.22,94.34,75.08,59.604,1038,158
59.0,97.58,15.29,81.26,81.93,60.251,1066,163
