time,edge_ms,fog_ms,cloud_ms,avg_weighted_ms
1.0,3.0,14.4,250.0,132.2
2.0,3.0,16.7,250.0,91.33
3.0,3.0,13.6,250.0,59.82
4.0,3.0,13.6,250.0,84.52
5.0,3.0,14.0,250.0,83.7
6.0,3.0,13.6,250.0,59.82
7.0,3.0,13.8,250.0,36.34
8.0,3.0,14.8,250.0,38.32
9.0,3.0,14.8,250.0,56.55
10.0,3.0,14.9,250.0,33.41
11.0,3.0,14.7,250.0,31.92
12.0,3.0,14.1,250.0,31.41
13.0,3.0,14.5,250.0,46.53
14.0,3.0,14.2,250.0,47.92
15.0,3.0,14.9,250.0,46.15
16.0,3.0,14.7,250.0,42.87
17.0,3.0,15.0,250.0,42.88
18.0,3.0,15.1,250.0,29.15
19.0,3.0,15.1,250.0,42.12
20.0,3.0,14.7,250.0,41.79
21.0,3.0,15.0,250.0,53.59
22.0,3.0,14.9,250.0,54.16
23.0,3.0,14.6,250.0,53.28
24.0,3.0,14.7,250.0,63.74
25.0,3.0,14.7,250.0,72.36
26.0,3.0,14.8,250.0,73.6
27.0,3.0,14.8,250.0,48.9
28.0,3.0,14.9,250.0,57.14
29.0,3.0,14.9,250.0,45.78
30.0,3.0,14.9,250.0,57.69
31.0,3.0,14.9,250.0,65.39
32.0,3.0,15.0,250.0,44.51
33.0,3.0,15.3,250.0,53.99
34.0,3.0,15.2,250.0,53.91
35.0,3.0,15.2,250.0,33.66
36.0,3.0,15.4,250.0,43.06
37.0,3.0,15.5,250.0,41.49
38.0,3.0,15.6,250.0,50.74
39.0,3.0,15.5,250.0,50.67
40.0,3.0,15.7,250.0,32.76
41.0,3.0,15.7,250.0,46.28
42.0,3.0,15.8,250.0,39.02
43.0,3.0,15.7,250.0,47.6
44.0,3.0,15.9,250.0,47.75
45.0,3.0,15.6,250.0,48.68
46.0,3.0,15.9,250.0,48.21
47.0,3.0,15.9,250.0,47.04
48.0,3.0,15.9,250.0,38.88
49.0,3.0,15.9,250.0,45.69
50.0,3.0,15.8,250.0,45.2
51.0,3.0,15.8,250.0,45.59
52.0,3.0,15.7,250.0,53.42
53.0,3.0,15.7,250.0,22.15
54.0,3.0,15.6,250.0,30.48
55.0,3.0,15.8,250.0,37.81
56.0,3.0,15.7,250.0,30.52
57.0,3.0,15.6,250.0,36.46
58.0,3.0,15.6,250.0,36.86
59.0,3.0,15.6,250.0,43.57
60.0,3.0,15.6,250.0,43.95
61.0,3.0,15.7,250.0,35.19
62.0,3.0,15.5,250.0,35.02
63.0,3.0,15.6,250.0,35.85
64.0,3.0,15.6,250.0,41.6
65.0,3.0,15.6,250.0,42.88
66.0,3.0,15.6,250.0,42.88
67.0,3.0,15.7,250.0,42.96
68.0,3.0,15.6,250.0,40.89
69.0,3.0,15.7,250.0,41.67
70.0,3.0,15.8,250.0,48.0
71.0,3.0,15.9,250.0,52.78
72.0,3.0,15.7,250.0,59.64
73.0,3.0,16.1,250.0,56.38
74.0,3.0,16.2,250.0,50.61
75.0,3.0,16.6,250.0,33.42
76.0,3.0,16.5,250.0,45.35
77.0,3.0,16.6,250.0,51.61
78.0,3.0,16.4,250.0,67.62
79.0,3.0,16.5,250.0,74.2
80.0,3.0,16.5,250.0,62.19
81.0,3.0,16.5,250.0,70.59
82.0,3.0,16.8,250.0,57.38
83.0,3.0,16.7,250.0,46.87
84.0,3.0,16.6,250.0,58.15
85.0,3.0,16.6,250.0,52.79
86.0,3.0,16.6,250.0,47.73
87.0,3.0,16.4,250.0,65.75
88.0,3.0,16.4,250.0,49.19
89.0,3.0,16.6,250.0,54.92
90.0,3.0,16.5,250.0,56.35
91.0,3.0,16.6,250.0,65.58
92.0,3.0,16.7,250.0,51.01
93.0,3.0,16.6,250.0,56.17
94.0,3.0,16.7,250.0,50.09
95.0,3.0,16.8,250.0,44.55
96.0,3.0,16.8,250.0,32.36
97.0,3.0,16.8,250.0,42.89
98.0,3.0,16.8,250.0,48.5
99.0,3.0,16.7,250.0,53.48
100.0,3.0,16.7,250.0,63.91
101.0,3.0,16.7,250.0,57.93
102.0,3.0,16.5,250.0,47.95
103.0,3.0,16.4,250.0,47.24
104.0,3.0,16.3,250.0,51.53
105.0,3.0,16.2,250.0,61.73
106.0,3.0,16.2,250.0,41.57
107.0,3.0,16.2,250.0,57.83
108.0,3.0,16.3,250.0,61.83
109.0,3.0,16.3,250.0,66.72
110.0,3.0,16.3,250.0,63.9
111.0,3.0,16.3,250.0,63.61
112.0,3.0,16.3,250.0,52.55
113.0,3.0,16.4,250.0,58.61
114.0,3.0,16.4,250.0,62.78
115.0,3.0,16.5,250.0,53.02
116.0,3.0,16.3,250.0,48.41
117.0,3.0,16.5,250.0,53.32
118.0,3.0,16.3,250.0,49.4
119.0,3.0,16.4,250.0,49.16
120.0,3.0,16.3,250.0,49.77
121.0,3.0,16.5,250.0,58.99
122.0,3.0,16.6,250.0,58.47
123.0,3.0,16.7,250.0,63.91
124.0,3.0,16.7,250.0,52.19
125.0,3.0,16.7,250.0,36.55
126.0,3.0,16.7,250.0,57.62
127.0,3.0,16.7,250.0,61.55
128.0,3.0,16.6,250.0,66.65
129.0,3.0,16.6,250.0,50.59
130.0,3.0,16.5,250.0,62.9
131.0,3.0,16.4,250.0,63.12
132.0,3.0,16.5,250.0,47.32
133.0,3.0,16.7,250.0,37.0
134.0,3.0,16.6,250.0,39.15
135.0,3.0,16.5,250.0,49.26
136.0,3.0,16.2,250.0,45.42
137.0,3.0,16.3,250.0,39.22
138.0,3.0,16.3,250.0,39.34
139.0,3.0,16.3,250.0,50.36
140.0,3.0,16.3,250.0,39.02
141.0,3.0,16.2,250.0,46.73
142.0,3.0,16.2,250.0,39.71
143.0,3.0,16.1,250.0,38.93
144.0,3.0,16.0,250.0,44.95
145.0,3.0,16.2,250.0,49.37
146.0,3.0,16.3,250.0,43.52
147.0,3.0,16.1,250.0,39.52
148.0,3.0,16.4,250.0,34.04
149.0,3.0,16.4,250.0,46.28
150.0,3.0,16.5,250.0,45.01
151.0,3.0,16.7,250.0,44.49
152.0,3.0,16.7,250.0,45.16
153.0,3.0,16.7,250.0,59.15
154.0,3.0,17.0,250.0,59.04
155.0,3.0,16.8,250.0,55.43
156.0,3.0,16.8,250.0,45.26
157.0,3.0,16.8,250.0,45.59
158.0,3.0,16.5,250.0,72.86
