time,tl_adjusted_total,rerouted_total
1.0,0,0
2.0,0,0
3.0,0,0
4.0,0,0
5.0,0,0
6.0,0,0
7.0,0,0
8.0,0,0
9.0,1,0
10.0,2,0
11.0,3,0
12.0,4,0
13.0,5,0
14.0,6,0
15.0,7,0
16.0,8,0
17.0,8,0
18.0,9,0
19.0,9,0
20.0,9,0
21.0,9,0
22.0,9,0
23.0,9,0
24.0,9,0
25.0,9,0
26.0,9,0
27.0,9,0
28.0,10,0
29.0,10,0
30.0,10,0
31.0,10,0
32.0,10,0
33.0,10,0
34.0,10,0
35.0,10,0
36.0,10,0
37.0,10,0
38.0,11,0
39.0,11,0
40.0,11,0
41.0,11,0
42.0,11,0
43.0,11,0
44.0,11,0
45.0,11,0
46.0,11,0
47.0,11,0
48.0,12,0
49.0,12,0
50.0,12,0
51.0,12,0
52.0,12,0
53.0,12,0
54.0,12,0
55.0,12,0
56.0,12,0
57.0,12,0
58.0,13,0
59.0,13,0
60.0,13,0
61.0,14,0
62.0,14,0
63.0,14,0
64.0,14,0
65.0,14,0
66.0,15,0
67.0,15,0
68.0,15,0
69.0,16,0
70.0,16,0
71.0,17,0
72.0,17,0
73.0,17,0
74.0,17,0
75.0,17,0
76.0,18,0
77.0,19,0
78.0,20,23
79.0,22,47
80.0,23,70
81.0,24,95
82.0,24,120
83.0,24,120
84.0,24,120
85.0,24,120
86.0,25,120
87.0,26,120
88.0,26,120
89.0,27,120
90.0,27,120
91.0,27,120
92.0,27,120
93.0,27,120
94.0,27,142
95.0,27,165
96.0,28,188
97.0,28,212
98.0,28,235
99.0,29,257
100.0,29,280
101.0,29,303
102.0,29,303
103.0,29,303
104.0,29,303
105.0,29,303
106.0,29,303
107.0,29,303
108.0,29,326
109.0,29,349
110.0,29,372
111.0,30,396
112.0,30,421
113.0,30,447
114.0,31,472
115.0,31,497
116.0,31,521
117.0,31,544
118.0,31,566
119.0,31,588
120.0,31,609
121.0,32,632
122.0,32,656
123.0,32,681
124.0,33,708
125.0,33,734
126.0,33,760
127.0,33,760
128.0,33,760
129.0,34,760
130.0,34,760
131.0,34,760
132.0,34,760
133.0,34,760
134.0,35,760
135.0,35,760
136.0,35,760
137.0,35,760
138.0,35,760
139.0,36,760
140.0,36,760
141.0,37,760
142.0,37,760
143.0,37,760
144.0,38,760
145.0,38,760
146.0,38,760
147.0,38,760
148.0,38,760
149.0,39,760
150.0,40,760
151.0,40,760
152.0,40,760
153.0,40,760
154.0,40,760
155.0,41,760
156.0,41,760
157.0,41,760
158.0,41,760
159.0,41,760
160.0,42,760
161.0,42,760
162.0,42,760
163.0,42,760
164.0,42,760
165.0,43,760
166.0,43,760
167.0,43,760
168.0,43,760
169.0,43,760
170.0,44,760
171.0,44,760
172.0,44,760
173.0,44,760
174.0,44,760
175.0,45,760
176.0,45,760
177.0,45,760
178.0,45,760
179.0,45,760
180.0,46,760
181.0,46,760
182.0,46,760
183.0,46,760
184.0,46,760
185.0,47,760
186.0,47,760
187.0,47,760
188.0,47,760
189.0,47,760
190.0,48,760
191.0,48,760
192.0,49,760
193.0,50,760
194.0,50,760
195.0,50,760
196.0,50,760
197.0,50,760
198.0,50,760
199.0,50,760
200.0,52,760
201.0,53,760
202.0,55,760
203.0,55,760
204.0,55,760
205.0,55,760
206.0,55,760
207.0,55,760
208.0,55,760
209.0,55,760
210.0,57,760
211.0,57,760
212.0,58,760
213.0,58,760
214.0,58,760
215.0,58,760
216.0,58,760
217.0,58,760
218.0,58,760
219.0,58,760
220.0,59,760
221.0,59,760
222.0,59,783
223.0,59,806
224.0,59,829
225.0,59,853
226.0,59,877
227.0,59,901
228.0,59,926
229.0,59,951
230.0,60,976
231.0,60,1001
232.0,60,1025
233.0,60,1049
234.0,60,1073
235.0,61,1073
236.0,61,1097
237.0,61,1097
238.0,61,1097
239.0,61,1120
240.0,62,1142
241.0,62,1167
242.0,62,1167
243.0,62,1167
244.0,63,1167
245.0,64,1167
246.0,64,1167
247.0,64,1167
248.0,64,1167
249.0,64,1167
250.0,65,1167
251.0,65,1167
252.0,65,1167
253.0,65,1167
254.0,66,1167
255.0,67,1167
256.0,67,1167
257.0,67,1167
258.0,67,1167
259.0,67,1167
260.0,68,1167
261.0,68,1167
262.0,68,1167
263.0,68,1189
264.0,68,1210
265.0,68,1232
266.0,68,1254
267.0,68,1277
268.0,68,1301
269.0,68,1325
270.0,68,1349
271.0,69,1376
272.0,69,1403
273.0,70,1431
274.0,71,1459
275.0,72,1486
276.0,73,1512
277.0,74,1537
278.0,75,1563
279.0,76,1588
280.0,77,1613
281.0,79,1640
282.0,80,1667
283.0,81,1695
284.0,82,1723
285.0,83,1751
286.0,84,1777
287.0,85,1803
288.0,86,1829
289.0,87,1856
290.0,88,1883
291.0,90,1911
292.0,91,1936
293.0,93,1959
294.0,94,1959
295.0,95,1959
296.0,96,1959
297.0,97,1959
298.0,98,1959
299.0,99,1959
300.0,100,1959
301.0,102,1959
302.0,103,1959
303.0,104,1959
304.0,104,1959
305.0,104,1959
306.0,104,1959
307.0,104,1959
308.0,104,1959
309.0,104,1959
310.0,104,1959
311.0,105,1959
312.0,106,1959
313.0,107,1959
314.0,107,1959
315.0,107,1959
316.0,107,1959
317.0,107,1959
318.0,107,1959
