time,tasks_processed,offloading_count
1.0,8,4
2.0,17,4
3.0,27,5
4.0,37,5
5.0,47,5
6.0,57,5
7.0,67,5
8.0,77,5
9.0,88,5
10.0,100,5
11.0,113,5
12.0,126,5
13.0,140,5
14.0,154,5
15.0,169,5
16.0,184,5
17.0,200,5
18.0,216,5
19.0,233,5
20.0,250,5
21.0,268,5
22.0,286,5
23.0,302,4
24.0,318,4
25.0,335,4
26.0,351,3
27.0,367,3
28.0,385,3
29.0,403,3
30.0,421,3
31.0,439,3
32.0,457,3
33.0,476,3
34.0,495,3
35.0,514,3
36.0,534,3
37.0,555,3
38.0,575,2
39.0,594,2
40.0,613,2
41.0,633,2
42.0,654,2
43.0,675,2
44.0,696,2
45.0,717,2
46.0,739,2
47.0,762,2
48.0,785,2
49.0,809,2
50.0,833,2
51.0,858,2
52.0,883,2
53.0,908,2
54.0,932,2
55.0,958,2
56.0,984,2
57.0,1011,2
58.0,1038,2
59.0,1066,2
60.0,1094,2
61.0,1123,2
62.0,1152,2
63.0,1181,2
64.0,1211,2
65.0,1242,2
66.0,1273,2
67.0,1304,2
68.0,1336,2
69.0,1368,2
70.0,1401,2
71.0,1435,2
72.0,1468,1
73.0,1502,2
74.0,1535,2
75.0,1567,2
76.0,1598,2
77.0,1629,2
78.0,1660,2
79.0,1689,2
80.0,1717,2
81.0,1747,3
82.0,1780,3
83.0,1813,3
84.0,1846,3
85.0,1879,3
86.0,1912,3
87.0,1945,3
88.0,1978,3
89.0,2012,3
90.0,2044,3
91.0,2077,4
92.0,2108,4
93.0,2140,4
94.0,2171,4
95.0,2202,4
96.0,2233,4
97.0,2265,4
98.0,2296,4
99.0,2328,4
100.0,2360,4
101.0,2392,4
102.0,2424,4
103.0,2455,4
104.0,2488,5
105.0,2522,5
106.0,2555,5
107.0,2586,3
108.0,2619,3
109.0,2649,3
110.0,2679,3
111.0,2710,3
112.0,2739,3
113.0,2769,3
114.0,2798,3
115.0,2827,3
116.0,2856,2
117.0,2885,2
118.0,2914,2
119.0,2943,2
120.0,2971,2
121.0,3001,2
122.0,3031,2
123.0,3061,3
124.0,3090,3
125.0,3119,3
126.0,3147,3
127.0,3175,3
128.0,3203,3
129.0,3232,3
130.0,3261,3
131.0,3291,3
132.0,3321,3
133.0,3351,3
134.0,3381,3
135.0,3413,3
136.0,3445,3
137.0,3478,3
138.0,3511,3
139.0,3545,3
140.0,3579,3
141.0,3614,3
142.0,3649,3
143.0,3684,3
144.0,3720,3
145.0,3758,4
146.0,3796,4
147.0,3834,4
148.0,3873,4
149.0,3912,4
150.0,3952,4
151.0,3993,4
152.0,4034,4
153.0,4077,4
154.0,4120,4
155.0,4163,4
156.0,4206,4
157.0,4248,4
158.0,4289,4
159.0,4330,4
160.0,4370,4
161.0,4413,5
162.0,4458,5
163.0,4502,5
164.0,4545,4
165.0,4587,4
166.0,4627,4
167.0,4666,4
168.0,4702,4
169.0,4739,4
170.0,4777,4
171.0,4816,4
172.0,4855,4
173.0,4895,4
174.0,4934,4
175.0,4973,4
176.0,5010,4
177.0,5048,4
178.0,5084,4
179.0,5120,3
180.0,5156,3
181.0,5193,4
182.0,5230,4
183.0,5267,4
184.0,5303,4
185.0,5340,4
186.0,5376,4
187.0,5409,3
188.0,5442,3
189.0,5474,3
190.0,5504,3
191.0,5534,3
192.0,5564,3
193.0,5594,3
194.0,5624,3
195.0,5653,3
196.0,5683,3
197.0,5714,3
198.0,5744,3
199.0,5773,3
200.0,5801,3
201.0,5831,3
202.0,5862,3
203.0,5893,3
204.0,5924,3
205.0,5955,3
206.0,5987,3
207.0,6021,4
208.0,6055,4
209.0,6090,4
210.0,6125,4
211.0,6161,4
