time,total_vehicles,fog_nodes,fog_ratio_pct
1.0,8,4,50.0
2.0,9,4,44.4
3.0,10,5,50.0
4.0,10,5,50.0
5.0,10,5,50.0
6.0,10,5,50.0
7.0,10,5,50.0
8.0,10,5,50.0
9.0,11,5,45.5
10.0,12,5,41.7
11.0,13,5,38.5
12.0,13,5,38.5
13.0,14,5,35.7
14.0,14,5,35.7
15.0,15,5,33.3
16.0,15,5,33.3
17.0,16,5,31.2
18.0,16,5,31.2
19.0,17,5,29.4
20.0,17,5,29.4
21.0,18,5,27.8
22.0,18,5,27.8
23.0,18,5,27.8
24.0,19,5,26.3
25.0,20,5,25.0
26.0,20,5,25.0
27.0,20,5,25.0
28.0,22,5,22.7
29.0,22,5,22.7
30.0,22,5,22.7
31.0,23,5,21.7
32.0,23,5,21.7
33.0,24,5,20.8
34.0,24,5,20.8
35.0,24,5,20.8
36.0,25,5,20.0
37.0,26,5,19.2
38.0,26,5,19.2
39.0,26,5,19.2
40.0,26,5,19.2
41.0,29,5,17.2
42.0,29,5,17.2
43.0,29,5,17.2
44.0,29,5,17.2
45.0,28,5,17.9
46.0,29,5,17.2
47.0,30,5,16.7
48.0,30,5,16.7
49.0,31,5,16.1
50.0,31,5,16.1
51.0,31,4,12.9
52.0,31,4,12.9
53.0,30,4,13.3
54.0,30,4,13.3
55.0,32,4,12.5
56.0,31,4,12.9
57.0,32,4,12.5
58.0,32,4,12.5
59.0,33,4,12.1
60.0,33,4,12.1
61.0,34,4,11.8
62.0,34,4,11.8
63.0,34,4,11.8
64.0,35,4,11.4
65.0,34,3,8.8
66.0,34,3,8.8
67.0,34,3,8.8
68.0,35,3,8.6
69.0,35,3,8.6
70.0,36,3,8.3
71.0,37,3,8.1
72.0,37,3,8.1
73.0,40,4,10.0
74.0,40,4,10.0
75.0,40,4,10.0
76.0,40,4,10.0
77.0,40,4,10.0
78.0,40,4,10.0
79.0,40,4,10.0
80.0,40,4,10.0
81.0,43,5,11.6
82.0,46,5,10.9
83.0,44,5,11.4
84.0,44,5,11.4
85.0,44,5,11.4
86.0,44,5,11.4
87.0,42,4,9.5
88.0,41,4,9.8
89.0,42,4,9.5
90.0,40,3,7.5
91.0,42,4,9.5
92.0,40,4,10.0
93.0,41,4,9.8
94.0,41,4,9.8
95.0,42,4,9.5
96.0,42,4,9.5
97.0,43,4,9.3
98.0,43,4,9.3
99.0,44,4,9.1
100.0,44,4,9.1
101.0,45,4,8.9
102.0,44,4,9.1
103.0,44,4,9.1
104.0,46,5,10.9
105.0,46,5,10.9
106.0,45,5,11.1
107.0,45,5,11.1
108.0,46,5,10.9
109.0,46,5,10.9
110.0,44,5,11.4
111.0,44,5,11.4
112.0,44,5,11.4
113.0,44,5,11.4
114.0,44,5,11.4
115.0,44,5,11.4
116.0,43,5,11.6
117.0,44,5,11.4
118.0,42,5,11.9
119.0,42,5,11.9
120.0,41,5,12.2
121.0,43,5,11.6
122.0,44,5,11.4
123.0,44,5,11.4
124.0,45,6,13.3
125.0,45,6,13.3
126.0,45,5,11.1
